code,title,description,skills,tasks
15-1241.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.","[""reading comprehension"", ""critical thinking""]","[""develop disaster recovery plans."", ""develop or recommend network security measures, such as firewalls, network security audits, or automated security probes."", ""develop and implement solutions for network problems."", ""maintain networks by performing activities such as file addition, deletion, or backup."", ""coordinate network operations, maintenance, repairs, or upgrades.""]"
15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.","[""programming""]","[""write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic."", ""correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced."", ""perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements."", ""write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment."", ""consult with managerial, engineering, and technical personnel to clarify program intent, identify problems, and suggest changes.""]"
15-1253.00,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","[""reading comprehension""]","[""identify, analyze, and document problems with program function, output, online screen, or content."", ""document software defects, using a bug tracking system, and report defects to software developers."", ""develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability."", ""design test plans, scenarios, scripts, or procedures."", ""document test procedures to ensure replicability and compliance with standards."", ""provide feedback and recommendations to developers on software usability and functionality."", ""install, maintain, or use software testing programs."", ""test system modifications to prepare for implementation."", ""create or maintain databases of known test defects."", ""develop or specify standards, methods, or procedures to determine product quality or release readiness."", ""monitor bug resolution efforts and track successes."", ""update automated test scripts to ensure currency."", ""participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems."", ""plan test schedules or strategies in accordance with project scope or delivery dates.""]"
15-1254.00,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","[""programming""]","[""write supporting code for web applications or web sites."", ""design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media."", ""back up files from web sites to local directories for instant recovery in case of problems."", ""select programming languages, design tools, or applications."", ""evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems."", ""develop databases that support web applications and web sites."", ""perform web site tests according to planned schedules, or after any web site or product revision."", ""perform or direct web site updates.""]"
15-1255.01,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.","[""programming""]","[""balance and adjust gameplay experiences to ensure the critical and commercial success of the product."", ""devise missions, challenges, or puzzles to be encountered in game play."", ""create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise."", ""solicit, obtain, and integrate feedback from design and technical staff into original game design."", ""conduct regular design reviews throughout the game development process."", ""develop and maintain design level documentation, including mechanics, guidelines, and mission outlines."", ""document all aspects of formal game design, using mock-up screenshots, sample menu layouts, gameplay flowcharts, and other graphical devices."", ""provide feedback to designers and other colleagues regarding game design features."", ""create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff."", ""provide feedback to production staff regarding technical game qualities or adherence to original design."", ""create gameplay prototypes for presentation to creative and technical staff and management."", ""guide design discussions between development teams.""]"
15-1299.01,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.","[""critical thinking""]","[""monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel."", ""identify or document backup or recovery plans."", ""back up or modify applications and related data to provide for disaster recovery."", ""correct testing-identified problems, or recommend actions for their resolution."", ""identify, standardize, and communicate levels of access and security."", ""determine sources of web page or server problems, and take action to correct such problems."", ""implement updates, upgrades, and patches in a timely manner to limit loss of service."", ""implement web site security measures, such as firewalls or message encryption."", ""collaborate with development teams to discuss, analyze, or resolve usability issues."", ""test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications."", ""perform user testing or usage analyses to determine web sites' effectiveness or usability."", ""document application and web site changes or change procedures."", ""track, compile, and analyze web site usage data.""]"
15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.","[""reading comprehension"", ""active listening"", ""critical thinking""]","[""communicate with staff or clients to understand specific system requirements."", ""investigate system component suitability for specified purposes, and make recommendations regarding component use."", ""provide customers or installation teams guidelines for implementing secure systems."", ""direct the analysis, development, and operation of complete computer systems."", ""direct the installation of operating systems, network or application software, or computer or network hardware."", ""monitor system operation to detect potential problems.""]"
15-1299.09,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.","[""reading comprehension"", ""active listening"", ""writing"", ""critical thinking"", ""coordination"", ""time management""]","[""manage project execution to ensure adherence to budget, schedule, and scope."", ""confer with project personnel to identify and resolve problems."", ""monitor or track project milestones and deliverables."", ""submit project deliverables, ensuring adherence to quality standards."", ""assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods."", ""initiate, review, or approve modifications to project plans."", ""schedule and facilitate meetings related to information technology projects."", ""direct or coordinate activities of project personnel."", ""develop implementation plans that include analyses such as cost-benefit or return on investment (roi)."", ""identify need for initial or supplemental project resources."", ""develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing."", ""perform risk assessments to develop response strategies."", ""prepare project status reports by collecting, analyzing, and summarizing information and trends.""]"
15-2011.00,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.","[""reading comprehension"", ""active listening"", ""mathematics"", ""critical thinking"", ""complex problem solving"", ""judgment and decision making"", ""systems evaluation""]","[""ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits."", ""collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business."", ""analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates."", ""design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums."", ""determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public."", ""construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.""]"
15-2021.00,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.","[""reading comprehension"", ""mathematics"", ""critical thinking"", ""active learning"", ""complex problem solving""]","[""address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols."", ""disseminate research by writing reports, publishing papers, or presenting at professional conferences."", ""maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences."", ""apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields."", ""conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic."", ""develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.""]"
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""mathematics"", ""critical thinking"", ""complex problem solving""]","[""present the results of mathematical modeling and data analysis to management or other end users."", ""define data requirements, and gather and validate information, applying judgment and statistical tests."", ""perform validation and testing of models to ensure adequacy, and reformulate models, as necessary."", ""prepare management reports defining and evaluating problems and recommending solutions."", ""collaborate with others in the organization to ensure successful implementation of chosen problem solutions."", ""formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters."", ""observe the current system in operation, and gather and analyze information about each of the component problems, using a variety of sources."", ""analyze information obtained from management to conceptualize and define operational problems."", ""study and analyze information about alternative courses of action to determine which plan will offer the best outcomes."", ""collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives."", ""specify manipulative or computational methods to be applied to models.""]"
15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.","[""reading comprehension"", ""mathematics"", ""critical thinking""]","[""analyze and interpret statistical data to identify significant differences in relationships among sources of information."", ""evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy."", ""report results of statistical analyses, including information in the form of graphs, charts, and tables."", ""determine whether statistical methods are appropriate, based on user needs or research questions of interest."", ""prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data."", ""develop and test experimental designs, sampling techniques, and analytical methods."", ""identify relationships and trends in data, as well as any factors that could affect the results of research."", ""present statistical and nonstatistical results, using charts, bullets, and graphs, in meetings or conferences to audiences such as clients, peers, and students."", ""design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses."", ""adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering."", ""evaluate sources of information to determine any limitations, in terms of reliability or usability."", ""process large amounts of data for statistical modeling and graphic analysis, using computers.""]"
15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,"[""reading comprehension"", ""speaking"", ""mathematics"", ""science"", ""critical thinking"", ""active learning"", ""complex problem solving"", ""judgment and decision making""]","[""draw conclusions or make predictions, based on data summaries or statistical analyses."", ""analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques."", ""write detailed analysis plans and descriptions of analyses and findings for research protocols or reports."", ""calculate sample size requirements for clinical studies."", ""read current literature, attend meetings or conferences, and talk with colleagues to keep abreast of methodological or conceptual developments in fields such as biostatistics, pharmacology, life sciences, and social sciences."", ""design research studies in collaboration with physicians, life scientists, or other professionals."", ""prepare tables and graphs to present clinical data or results."", ""write program code to analyze data with statistical analysis software."", ""provide biostatistical consultation to clients or colleagues."", ""review clinical or other medical research protocols and recommend appropriate statistical analyses."", ""develop or implement data analysis algorithms."", ""determine project plans, timelines, or technical objectives for statistical aspects of biological research studies."", ""prepare statistical data for inclusion in reports to data monitoring committees, federal regulatory agencies, managers, or clients."", ""plan or direct research studies related to life sciences."", ""prepare articles for publication or presentation at professional conferences.""]"
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,"[""reading comprehension""]","[""generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."", ""maintain or update business intelligence tools, databases, dashboards, systems, or methods."", ""manage timely flow of business intelligence information to users.""]"
15-2051.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.","[""critical thinking""]","[""design and validate clinical databases, including designing or testing logic checks."", ""process clinical data, including receipt, entry, verification, or filing of information."", ""generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems."", ""develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes."", ""monitor work productivity or quality to ensure compliance with standard operating procedures."", ""prepare appropriate formatting to data sets as requested.""]"
17-1011.00,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.","[""reading comprehension"", ""speaking"", ""critical thinking"", ""operations analysis""]","[""develop final construction plans that include aesthetic representations of the structure or details for its construction."", ""prepare scale drawings or architectural designs, using computer-aided design or other tools."", ""prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time."", ""consult with clients to determine functional or spatial requirements of structures."", ""meet with clients to review or discuss architectural drawings."", ""monitor the work of specialists, such as electrical engineers, mechanical engineers, interior designers, or sound specialists to ensure optimal form or function of designs or final structures."", ""integrate engineering elements into unified architectural designs."", ""plan layouts of structural architectural projects."", ""conduct periodic on-site observations of construction work to monitor compliance with plans."", ""prepare contract documents for building contractors."", ""plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations."", ""direct activities of technicians engaged in preparing drawings or specification documents.""]"
17-1012.00,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.","[""reading comprehension"", ""active listening""]","[""prepare graphic representations or drawings of proposed plans or designs."", ""confer with clients, engineering personnel, or architects on landscape projects."", ""integrate existing land features or landscaping into designs."", ""inspect landscape work to ensure compliance with specifications, evaluate quality of materials or work, or advise clients or construction personnel."", ""analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.""]"
17-1021.00,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.","[""reading comprehension""]","[""compile data required for map preparation, including aerial photographs, survey notes, records, reports, and original maps."", ""delineate aerial photographic detail, such as control points, hydrography, topography, and cultural features, using precision stereoplotting apparatus or drafting instruments."", ""prepare and alter trace maps, charts, tables, detailed drawings, and three-dimensional optical models of terrain using stereoscopic plotting and computer graphics equipment."", ""study legal records to establish boundaries of local, national, and international properties."", ""inspect final compositions to ensure completeness and accuracy."", ""revise existing maps and charts, making all necessary corrections and adjustments."", ""identify, scale, and orient geodetic points, elevations, and other planimetric or topographic features, applying standard mathematical formulas."", ""collect information about specific features of the earth, using aerial photography and other digital remote sensing techniques.""]"
17-1022.00,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.","[""mathematics""]","[""direct or conduct surveys to establish legal boundaries for properties, based on legal deeds and titles."", ""prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed."", ""write descriptions of property boundary surveys for use in deeds, leases, or other legal documents."", ""verify the accuracy of survey data, including measurements and calculations conducted at survey sites."", ""search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed."", ""record the results of surveys, including the shape, contour, location, elevation, and dimensions of land or land features."", ""prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys."", ""compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features."", ""calculate heights, depths, relative positions, property lines, and other characteristics of terrain."", ""plan and conduct ground surveys designed to establish baselines, elevations, and other geodetic measurements."", ""establish fixed points for use in making maps, using geodetic and engineering instruments."", ""determine longitudes and latitudes of important features and boundaries in survey areas, using theodolites, transits, levels, and satellite-based global positioning systems (gps)."", ""train assistants and helpers, and direct their work in such activities as performing surveys or drafting maps."", ""coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects."", ""analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.""]"
17-1022.01,Geodetic Surveyors,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.","[""reading comprehension"", ""mathematics""]","[""analyze control or survey data to ensure adherence to project specifications or land survey standards."", ""conduct surveys to determine exact positions, measurement of points, elevations, lines, areas, volumes, contours, or other features of land surfaces."", ""calculate the exact horizontal and vertical position of points on the earth's surface."", ""maintain databases of geodetic and related information, including coordinate, descriptive, or quality assurance data."", ""verify the mathematical correctness of newly collected survey data."", ""compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the earth's surface."", ""plan or direct the work of geodetic surveying staff, providing technical consultation as needed."", ""assess the quality of control data to determine the need for additional survey data for engineering, construction, or other projects."", ""distribute compiled geodetic data to government agencies or the general public."", ""request additional survey data when field collection errors occur or engineering surveying specifications are not maintained.""]"
17-2011.00,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.","[""reading comprehension"", ""science"", ""critical thinking""]","[""formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements."", ""plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.""]"
17-2021.00,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking""]","[""prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.""]"
17-2031.00,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking""]","[""evaluate the safety, efficiency, and effectiveness of biomedical equipment."", ""prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."", ""design or develop medical diagnostic or clinical instrumentation, equipment, or procedures, using the principles of engineering and biobehavioral sciences."", ""conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals."", ""adapt or design computer hardware or software for medical science uses.""]"
17-2041.00,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.","[""science"", ""critical thinking"", ""complex problem solving""]","[""monitor and analyze data from processes and experiments."", ""develop safety procedures to be employed by workers operating equipment or working in close proximity to ongoing chemical reactions."", ""develop processes to separate components of liquids or gases or generate electrical currents, using controlled chemical processes."", ""troubleshoot problems with chemical manufacturing processes."", ""evaluate chemical equipment and processes to identify ways to optimize performance or to ensure compliance with safety and environmental regulations."", ""conduct research to develop new and improved chemical manufacturing processes."", ""perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant.""]"
17-2051.00,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.","[""active listening""]","[""direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations."", ""manage and direct the construction, operations, or maintenance activities at project site."", ""inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.""]"
17-2051.01,Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.","[""reading comprehension"", ""writing"", ""speaking"", ""critical thinking""]","[""design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting."", ""check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices."", ""prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices."", ""plan alteration or modification of existing transportation structures to improve safety or function."", ""confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules."", ""present data, maps, or other information at construction-related public hearings or meetings.""]"
17-2051.02,Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.","[""reading comprehension"", ""writing"", ""critical thinking"", ""judgment and decision making""]","[""provide technical direction or supervision to junior engineers, engineering or computer-aided design (cad) technicians, or other technical personnel."", ""review and critique proposals, plans, or designs related to water or wastewater treatment systems."", ""design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (sbr), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings."", ""evaluate the operation and maintenance of water or wastewater systems to identify ways to improve their efficiency.""]"
17-2061.00,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.","[""reading comprehension"", ""critical thinking""]","[""update knowledge and skills to keep up with rapid advancements in computer technology."", ""design and develop computer hardware and support peripherals, including central processing units (cpus), support logic, microprocessors, custom integrated circuits, and printers and disk drives."", ""confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system."", ""build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation."", ""write detailed functional specifications that document the hardware development process and support hardware introduction.""]"
17-2071.00,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.","[""reading comprehension"", ""writing"", ""critical thinking""]","[""design, implement, maintain, or improve electrical instruments, equipment, facilities, components, products, or systems for commercial, industrial, or domestic purposes."", ""oversee project production efforts to assure projects are completed on time and within budget.""]"
17-2072.00,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.","[""reading comprehension"", ""critical thinking"", ""complex problem solving""]","[""design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications."", ""operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.""]"
17-2081.00,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""monitoring""]","[""design, or supervise the design of, systems, processes, or equipment for control, management, or remediation of water, air, or soil quality."", ""assess the existing or potential environmental impact of land use projects on air, water, or land."", ""collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address environmental problems."", ""advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment."", ""develop proposed project objectives and targets and report to management on progress in attaining them."", ""monitor progress of environmental improvement programs.""]"
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.","[""reading comprehension""]","[""investigate industrial accidents, injuries, or occupational diseases to determine causes and preventive measures."", ""conduct research to evaluate safety levels for products."", ""evaluate product designs for safety."", ""conduct or coordinate worker training in areas such as safety laws and regulations, hazardous condition monitoring, and use of safety equipment."", ""maintain and apply knowledge of current policies, regulations, and industrial processes."", ""recommend procedures for detection, prevention, and elimination of physical, chemical, or other product hazards."", ""report or review findings from accident investigations, facilities inspections, or environmental testing."", ""evaluate potential health hazards or damage that could occur from product misuse."", ""evaluate adequacy of actions taken to correct health inspection violations.""]"
17-2111.02,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.","[""reading comprehension"", ""critical thinking""]","[""advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance."", ""inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials."", ""design fire detection equipment, alarm systems, and fire extinguishing devices and systems."", ""prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules."", ""consult with authorities to discuss safety regulations and to recommend changes as necessary.""]"
17-2112.01,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""complex problem solving""]","[""collect data through direct observation of work activities or witnessing the conduct of tests."", ""conduct interviews or surveys of users or customers to collect information on topics, such as requirements, needs, fatigue, ergonomics, or interfaces."", ""advocate for end users in collaboration with other professionals, including engineers, designers, managers, or customers."", ""inspect work sites to identify physical hazards."", ""prepare reports or presentations summarizing results or conclusions of human factors engineering or ergonomics activities, such as testing, investigation, or validation."", ""recommend workplace changes to improve health and safety, using knowledge of potentially harmful factors, such as heavy loads or repetitive motions."", ""perform functional, task, or anthropometric analysis, using tools, such as checklists, surveys, videotaping, or force measurement."", ""provide technical support to clients through activities, such as rearranging workplace fixtures to reduce physical hazards or discomfort or modifying task sequences to reduce cycle time."", ""assess the user-interface or usability characteristics of products."", ""establish system operating or training requirements to ensure optimized human-machine interfaces."", ""integrate human factors requirements into operational hardware."", ""review health, safety, accident, or worker compensation records to evaluate safety program effectiveness or to identify jobs with high incidence of injury."", ""design or evaluate human work systems, using human factors engineering and ergonomic principles to optimize usability, cost, quality, safety, or performance."", ""write, review, or comment on documents, such as proposals, test plans, or procedures."", ""train users in task techniques or ergonomic principles.""]"
17-2112.02,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.","[""reading comprehension"", ""writing"", ""speaking"", ""critical thinking""]","[""study product characteristics or customer requirements to determine validation objectives and standards."", ""analyze validation test data to determine whether systems or processes have met validation criteria or to identify root causes of production problems."", ""develop validation master plans, process flow diagrams, test cases, or standard operating procedures."", ""prepare detailed reports or design statements, based on results of validation and qualification tests or reviews of procedures and protocols."", ""maintain validation test equipment."", ""conduct validation or qualification tests of new or existing processes, equipment, or software in accordance with internal protocols or external standards."", ""communicate with regulatory agencies regarding compliance documentation or validation results."", ""prepare, maintain, or review validation and compliance documentation, such as engineering change notices, schematics, or protocols."", ""recommend resolution of identified deviations from established product or process standards.""]"
17-2112.03,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.","[""reading comprehension"", ""mathematics"", ""complex problem solving""]","[""troubleshoot new or existing product problems involving designs, materials, or processes."", ""investigate or resolve operational problems, such as material use variances or bottlenecks."", ""identify opportunities or implement changes to improve manufacturing processes or products or to reduce costs, using knowledge of fabrication processes, tooling and production equipment, assembly methods, quality control standards, or product design, materials and parts."", ""apply continuous improvement methods, such as lean manufacturing, to enhance manufacturing quality, reliability, or cost-effectiveness."", ""provide technical expertise or support related to manufacturing.""]"
17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.","[""reading comprehension"", ""active listening"", ""speaking"", ""critical thinking""]","[""design complete hull and superstructure according to specifications and test data, in conformity with standards of safety, efficiency, and economy."", ""supervise other engineers and crew members and train them for routine and emergency duties."", ""study design proposals and specifications to establish basic characteristics of craft, such as size, weight, speed, propulsion, displacement, and draft."", ""perform monitoring activities to ensure that ships comply with international regulations and standards for life-saving equipment and pollution preventatives."", ""oversee construction and testing of prototype in model basin and develop sectional and waterline curves of hull to establish center of gravity, ideal hull form, and buoyancy and stability data."", ""evaluate performance of craft during dock and sea trials to determine design changes and conformance with national and international standards."", ""prepare plans, estimates, design and construction schedules, and contract specifications, including any special provisions.""]"
